artist,birth_place, other_work_places
Albrecht Durer,Nuremberg, Venice
Charles-Andre van Loo (Carle van Loo),Nice, Paris_Rome
Limbourg brothers, Nijmegen, Paris
Bartolome Esteban Murillo,Seville, Madrid
J.M.W. Turner,London, Venice
Marià Fortuny,Reus,Morocco_Rome_Madrid_Paris
Currier and Ives,New York,
Honore Daumier,Marseille,Paris_Barbizon
Arkhyp Kuindzhi,Mariupol,St. Petersburg
Zinaida Serebriakova,Neskuchnoye,St. Petersburg_Paris
Konstantin Korovin,Moscow,Paris_St. Petersburg_Spain
Felix Vallotton, Lausanne,Paris
Maria Bozoky,Oradea,Budapest
Wilhelm Kotarbinski, Nieborow,Kyiv
Dorothy Lathrop,Albany,New York
Kmetty János,Miskolc, Budapest_Paris_Kosice
Zdzislaw Beksinski,Sanok,Warsaw_Krakow
Rene Magritte,Lessines,Brussels
Vajda Lajos,Zalaegerszeg, Budapest
Kukryniksy,,Moscow
Valerii Lamakh,,Kiev
Vilen Barsky,Kiev, Moscow
Oleksandr Aksinin,Kiev, Moscow
Gazmend Freitag,,Kosovo_Linz
Ding Yanyong,Maoming,Hong Kong
Olowe of Ise,,Ise_Nigeria
Le Nain brothers,Picardy,Paris
