artist,Nationality,PaintingSchool,ArtMovement,Influencedby,Influencedon,Pupils,Teachers,FriendsandCoworkers,FirstYear,LastYear,Places
Gustave Courbet,French,,"{Realism:272},","Rembrandt,Caravaggio,Diego Velazquez,Peter Paul Rubens,Francisco de Zurbaran,Baroque,Romanticism,Carolus-Duran,","Edouard Manet,Claude Monet,Pierre-Auguste Renoir,Paul Cezanne,James McNeill Whistler,Impressionism,Post-Impressionism,Expressionism,Alfred Sisley,Lucian Freud,Chaim Soutine,Charles-Francois Daubigny,Andres de Santa Maria,Jules Bastien-Lepage,Eugène Burnand,",,,,1830,1877,
Auguste Rodin,French,,"{Modern art:3},{Impressionism:91},","Michelangelo,Donatello,","Georgia O'Keeffe,Man Ray,Aristide Maillol,Olexandr Archipenko,Jacques Lipchitz,Pablo Picasso,Ossip Zadkine,Henry Moore,","Constantin Brancusi,",,,1865,1985,
Frida Kahlo,Mexican,,"{Naïve Art (Primitivism),Surrealism:99},","Amedeo Modigliani,Diego Rivera,Jose Clemente Orozco,David Alfaro Siqueiros,Surrealism,","Judy Chicago,Georgia O'Keeffe,Feminist Art,",,,,1922,1954,
Banksy,,,,,,,,,2011,2011,
El Greco,"Spanish,Greek",Cretan School,"{Spanish Renaissance:1},{Renaissance:2},{Mannerism:1},{Mannerism (Late Renaissance):170},","Byzantine Art,","Expressionism,Cubism,Eugene Delacroix,Edouard Manet,Der Blaue Reiter (The Blue Rider),Paul Cezanne,Pablo Picasso,Franz Marc,Jackson Pollock,Roberto Montenegro,Jose Clemente Orozco,Francisco Pacheco,",,"Titian,","Giulio Clovio,",1568,1614,
Diego Rivera,Mexican,"Mexican Mural Renaissance,La Ruche","{Social Realism,Muralism:146},","Marc Chagall,Robert Delaunay,","Frida Kahlo,Pedro Coronel,Vlady,",,,"Amedeo Modigliani,Saturnino Herran,Roberto Montenegro,Jose Clemente Orozco,David Alfaro Siqueiros,Mykhailo Boychuk,",1904,1956,
Claude Monet,French,,"{Modern art:3},{Impressionism:1340},","Gustave Courbet,Charles-Francois Daubigny,John Constable,J.M.W. Turner,Jean-Francois Millet,Alfred Sisley,Jacob van Ruisdael,","Childe Hassam,Robert Delaunay,Wassily Kandinsky,Frank W. Benson,",,"Eugene Boudin,Charles Gleyre,","Alfred Sisley,Pierre-Auguste Renoir,Camille Pissarro,Edouard Manet,Frederic Bazille,",1858,1926,
Francisco Goya,Spanish,,"{Romanticism:391},","Albrecht Durer,Diego Velazquez,","Pablo Picasso,Chaim Soutine,Roberto Montenegro,Jose Clemente Orozco,Pierre-Auguste Renoir,Max Klinger,",,"José Luzán,Anton Raphael Mengs,",,1760,1828,
Edvard Munch,Norwegian,"Berlin Secession,Degenerate art","{Symbolism,Expressionism:188},","Paul Gauguin,Vincent van Gogh,Henri de Toulouse-Lautrec,Georges Seurat,Caspar David Friedrich,","Egon Schiele,Wassily Kandinsky,Ernst Ludwig Kirchner,Max Beckmann,Paul Klee,Henri Matisse,Expressionism,Surrealism,",,"Leon Bonnat,","Franz Marc,",1881,1944,
Édouard Manet,,,,,,,,,1858,1882,
Peter Paul Rubens,Flemish,"Flemish School,Antwerp School","{Antwerp school:3},{Baroque:390},","Titian,Pieter Bruegel the Elder,Caravaggio,Hans Holbein the Younger,","Gustave Courbet,Frans Hals,Rembrandt,John Constable,Théodore Géricault,Eugene Delacroix,Rosa Bonheur,Jenny Saville,Claudio Coello,","Anthony van Dyck,Jacob Jordaens,Frans Snyders,","Tobias Verhaecht,Adam van Noort,Otto van Veen,","Diego Velazquez,",1597,1640,
Edgar Degas,French,,"{Realism:1},{Modern art:4},{Impressionism:2},{Impressionism,Realism:617},","Jean Auguste Dominique Ingres,Michelangelo,Raphael,Titian,Edouard Manet,Eugene Delacroix,","Edward Hopper,Henri Gervex,Paul Gauguin,Mary Cassatt,Walter Sickert,Henri de Toulouse-Lautrec,Pierre-Auguste Renoir,Aaron Shikler,",,,"Edouard Manet,Mary Cassatt,",1844,1956,
Henri de Toulouse-Lautrec,,,"{Post-Impressionism:14},{Art Nouveau:13},{Modern art:14},",,,,,,1880,1901,
Zhao Mengfu,,,,,,,,,,,
John Constable,British,English school,"{Romanticism:117},","Claude Lorrain,Thomas Gainsborough,Peter Paul Rubens,Annibale Carracci,Jacob van Ruisdael,","Alfred Sisley,Jules Dupre,Claude Monet,Barbizon school,Impressionism,Théodore Géricault,Eugene Delacroix,Camille Corot,",,,,1800,1837,
Gim Hongdo,,,,,,,,,1745,1806,
Utamaro,,,,,,,,,1787,1803,
René Lalique,,,,,"France,",,,"Artists1/René Lalique/Orchids Diadem##EAHg4G1jA0I1Dw.jpg,",1897,1955,
