artist,origin,school,art_movement,FirstYear,LastYear,Places
Piero di Cosimo,West,,,,,
Rembrandt Harmensz. van Rijn,West,,,,,
Jacob Isaacksz. van Ruisdael,West,,,,,
Francisco José de Goya y Lucientes,West,,,,,
Lucas van Leyden,West,,,,,
Abraham Roentgen,West,,,,,
Hendrick Avercamp,West,,,,,
Hans Bollongier,West,,,,,
Adriaen van Wesel,West,,,,,
Jacob Cornelisz van Oostsanen,West,,,,,
Aelbert Cuyp,West,,,,,
Dirck Hals,West,,,,,
Bartholomeus van der Helst,West,,,,,
Pieter de Hooch,West,,,,,
Johannes Cornelisz. Verspronck,West,,,,,
Renier van Thienen,West,,,,,
George Hendrik Breitner,West,,,,,
Johannes Vermeer,West,,,,,
Jan Willem Pieneman,West,,,,,
Joachim Bueckelaer,West,,,,,
Frans Hals,West,,,,,
Willem Claesz. Heda,West,,,,,
Vincent van Gogh,West,,,,,
Étienne-Maurice Falconet,West,,,,,
Adriaen Pietersz. van de Venne,West,,,,,
Geertgen tot Sint Jans,West,,,,,
Jan Havicksz. Steen,West,,,,,
Jan Both,West,,,,,
Pieter Jansz. Saenredam,West,,,,,
Jan van Scorel,West,,,,,
Adriaen Coorte,West,,,,,
Melchior d' Hondecoeter,West,,,,,
Gabriël Metsu,West,,,,,
Adriaen Thomasz. Key,West,,,,,
Wenzel Jamnitzer,West,,,,,
Herman Doomer,West,,,,,
Johan Gregor van der Schardt,West,,,,,
Jan Asselijn,West,,,,,
Willem van de Velde (I),West,,,,,
Cornelis Cornelisz. van Haarlem,West,,,,,
Floris Claesz. van Dijck,West,,,,,
Paul Joseph Constantin Gabriël,West,,,,,
Gerard van Honthorst,West,,,,,
Jozef Israëls,West,,,,,
Cornelis Troost,West,,,,,
Adriaan de Lelie,West,,,,,
Adam van Vianen (I),West,,,,,
Jan Baptist Xavery,West,,,,,
Frans Jansz Post,West,,,,,
André-Charles Boulle,West,,,,,
Gerrit Schouten,West,,,,,
Gerrit Adriaensz. Berckheyde,West,,,,,
De Metaale Pot,West,,,,,
Hendrik Voogd,West,,,,,
Jean Baptiste Vanmour,West,,,,,
Willem Bartel van der Kooi,West,,,,,
Fra Angelico,West,,,,,
Jan Adam Kruseman,West,,,,,
Chitqua,West,,,,,
Joseph-Germain Dutalis,West,,,,,
Nicolaes Maes,West,,,,,
Anthony van Dyck,West,,,,,
Jean-Etienne Liotard,West,,,,,
Michiel Jansz van Mierevelt,West,,,,,
Michael Sweerts,West,,,,,
Jacob Adriaensz. Backer,West,,,,,
Andries Beeckman,West,,,,,
Allaert van Everdingen,West,,,,,
Ferdinand Bol,West,,,,,
Otto Eerelman,West,,,,,
Ambrosius Bosschaert,West,,,,,
Anton Mauve,West,,,,,
Monogrammist MHVH,West,,,,,
Johan Hendrik Weissenbruch,West,,,,,
Adriaen van Ostade,West,,,,,
Paulus Potter,West,,,,,
Jan Lievens,West,,,,,
Bartholomeus Spranger,West,,,,,
Jan Brueghel (II),West,,,,,
Hendrick ter Brugghen,West,,,,,
Pieter Claesz.,West,,,,,
Carlo Crivelli,West,,,,,
Carel Fabritius,West,,,,,
Gerard Houckgeest,West,,,,,
Isaac Israels,West,,,,,
Dirck Jacobsz,West,,,,,
Willem Kalf,West,,,,,
Nicolaas Pieneman,West,,,,,
Isaac Ouwater,West,,,,,
Bartholomeus van Bassen,West,,,,,
Josephus Augustus Knip,West,,,,,
Gerard de Lairesse,West,,,,,
Pieter Lastman,West,,,,,
Nicolaes Eliasz. Pickenoy,West,,,,,
Lourens Alma Tadema,West,,,,,
Balthasar van der Ast,West,,,,,
Gerard ter Borch (II),West,,,,,
Adriaen van de Velde,West,,,,,
Esaias van de Velde,West,,,,,
Aertgen Claesz van Leyden,West,,,,,
Willem Maris,West,,,,,
Hannké,West,,,,,
Adriaen van Utrecht,West,,,,,
Govert Flinck,West,,,,,
Joachim Hiller,West,,,,,
Fa. Diemont,West,,,,,
Hendrik de Keyser (I),West,,,,,
François Dieussart,West,,,,,
Martin Schongauer,West,,,,,
Isidore De Rudder,West,,,,,
Arent Cornelisz Coster,West,,,,,
Albrecht Dürer,West,,,,,
De Grieksche A,West,,,,,
Paulus Willemsz. van Vianen,West,,,,,
Peter Paul Rubens,West,,,,,
Claes Jansz. Visscher (II),West,,,,,
Karel Dujardin,West,,,,,
Herman Saftleven,West,,,,,
Michelangelo,West,,,,,
Gao Qipei,West,,,,,
Nicolaes Pietersz. Berchem,West,,,,,
Hessel Gerritsz,West,,,,,
Nicolaes Loockemans,West,,,,,
Zhu Henian,West,,,,,
Unkoku,West,,,,,
Willem Witsen,West,,,,,
Adriaen de Vries,West,,,,,
Pieter Alardus Haaxman,West,,,,,
Tsukioka Yoshitoshi,West,,,,,
Fa. As. Bonebakker en Zoon,West,,,,,
Hendrick Goltzius,West,,,,,
Marinus Johannes Hack,West,,,,,
François Spierincx,West,,,,,
James Abbott McNeill Whistler,West,,,,,
Hendrick Hondius (I),West,,,,,
Jan Toorop,West,,,,,
Johannes van Wijckersloot,West,,,,,
Jan van de Velde (II),West,,,,,
Philips Vinckboons (II),West,,,,,
Giovanni Battista Piranesi,West,,,,,
Wallerant Vaillant,West,,,,,
Gerbrand van den Eeckhout,West,,,,,
Thomas Wijck,West,,,,,
Giulio Bonasone,West,,,,,
Johannes Torrentius,West,,,,,
Wouter Johannes van Troostwijk,West,,,,,
Anthonis Mor,West,,,,,
Abraham Hendricksz. van Beyeren,West,,,,,
Gerard Bilders,West,,,,,
Abraham Bloemaert,West,,,,,
Pieter Pietersz. (I),West,,,,,
Emanuel de Witte,West,,,,,
Gerard Dou,West,,,,,
Jan van Goyen,West,,,,,
Samuel van Hoogstraten,West,,,,,
Jan van Kessel (I),West,,,,,
Cornelis Ketel,West,,,,,
Master of the Amsterdam Death of the Virgin,West,,,,,
Joseph Paelinck,West,,,,,
Frederik van Frytom,West,,,,,
Johan Keller,West,,,,,
Giambologna,West,,,,,
P. Leemans,West,,,,,
Coenraet Roepel,West,,,,,
Pieter Christoffel Wonder,West,,,,,
Frans van der Mijn,West,,,,,
Pieter Aertsen,West,,,,,
Dirck van Baburen,West,,,,,
Caspar Netscher,West,,,,,
Frans II Pourbus,West,,,,,
Gerrit van Vucht,West,,,,,
Jan Baptist Weenix,West,,,,,
Hercules Segers,West,,,,,
Willem Pietersz. Buytewech,West,,,,,
Jan van Mekeren,West,,,,,
Box en Co Ltd Cooper,West,,,,,
Willem van Mieris,West,,,,,
Jacob Jordaens (I),West,,,,,
